Scrambling solved cube with: ['B', 'R', 'D inverse']
Moves to solve: ['L', 'B inverse', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'B inverse', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'B inverse', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'B inverse', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'B inverse', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'B inverse', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'B inverse', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B', 'F']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'F', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'B inverse', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B', 'B inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'B', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'B', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'B', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'B', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'U inverse', 'B', 'F']
Scrambling solved cube with: ['L', 'F inverse', 'B inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['B', 'F']
Scrambling solved cube with: ['L', 'F inverse', 'B inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'B', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'B', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B inverse', 'F']
*** SOLVED ***
Moves to solve: ['B', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'F', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B inverse', 'B']
*** SOLVED ***
Moves to solve: ['F', 'L inverse']
Scrambling solved cube with: ['L', 'F inverse', 'B inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'B', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L', 'L inverse']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L inverse', 'L']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'L', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'L inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'R inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'R inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'R inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R', 'R inverse']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'R inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'R inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'R inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'R', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'R', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R inverse', 'R']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'R', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'R', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'R', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'R', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'R inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'U inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'U inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'U inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'U inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'U inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U', 'U inverse']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'U inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'U inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'U inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'U inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'U inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'U inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'U', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'U', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'U', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'U', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U inverse', 'U']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'U', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'U', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'U', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'U', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'U', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'U', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'U inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'U', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'D inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'D inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'D inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D', 'D inverse']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'D inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'D inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'D inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'D inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'D', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'D', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D inverse', 'D']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'D', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'D', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'D', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'D', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'D inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'D', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'F inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'F inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'F inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'F inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'F inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F', 'D']
*** SOLVED ***
Moves to solve: ['F inverse', 'B inverse']
Scrambling solved cube with: ['L', 'B', 'F', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'D', 'F inverse', 'B inverse']
Scrambling solved cube with: ['L', 'B', 'F', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'F inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F', 'F inverse']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'B inverse', 'F inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F', 'B inverse']
*** SOLVED ***
Moves to solve: ['F inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'F', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'F', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'F', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'F', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'F', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'F', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'F', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F inverse', 'F']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'F', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'B inverse', 'F', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'F inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'B inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'B inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'B inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'B inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'B inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'B inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'B inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'B inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'B inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'B inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'B inverse', 'B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B', 'B inverse']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'B', 'B inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L', 'L inverse']
*** SOLVED ***
Moves to solve: ['B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L inverse', 'L']
*** SOLVED ***
Moves to solve: ['B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'L', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'L inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'R', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'R inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'R', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'R inverse', 'B', 'L inverse']
Scrambling solved cube with: ['L', 'B inverse', 'R', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'R inverse', 'B', 'L inverse']
